column,Row Order,O-BEE MANFRED JUSTICE,JOCKO BESN,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,TO-MAR BLACKSTAR ET,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,ELITE MOUNTAIN DONOR IMP (E_T),MADAWASKA AEROSTAR,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,BIS-MAY S-E-L MOUNTAIN ET,MAUGHLIN STORM,HANOVERHILL STARBUCK,MARA-THON BW MARSHALL,SHOREMAR JAMES,A RONNYBROOK PRELUDE ET,SOUTHWIND BELL OF BAR-LEE,LADINO PARK TALENT-IMP-ET,ELITE GOLD BULLION-IMP-ET,GIBBON,HILL VALLEY BASAR ACME,MJR BLACKSTAR EMORY-ET,MAIZEFIELD BELLWOOD - (E_T_),BASAR,WALKWAY CHIEF MARK,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,NORRIELAKE CLEITUS LUKE TWIN,BIS-MAY TRADITION CLEITUS,A MARK CJ GILBROOK GRAND ET,CARLIN-M IVANHOE BELL,RAMOS,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,DIXIE-LEE AARON -ET,ETAZON CELSIUS,WHITTIER-FARMS NED BOY,SHEN-VAL NV LM FORMATION-ET,FATAL,HOW-EL-ACRES K BELLMAN ET,BELT,ROTHROCK TRADITION LEADMAN,ROCKALLI SON OF BOVA,TESK-HOLM VALIANT ROCKIE,SHOREMAR PERFECT STAR (ET),EMERALD-ACRES-SA TONIC ET,CAL-CLARK BOARD CHAIRMAN
HILL VALLEY NIELS - NIELS,40,0,0,0,0.557241429,0.184131282,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU BKM MCCUTCHEN - 7H11477,41,0,0,0,0.557241429,0,0,0.139309916,0,0,0.091721101,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0.019309817,0,0,0,0,0.016551726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,42,0,0,0,0,0.184131282,0,0,0,0,0,0,0,0.199993397,0,0,0.048963624,0,0,0,0.058618532,0,0,0.037930729,0.140689668,0,0,0.082068487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019309287,0,0,0,0.015861408,0,0
FUSTEAD GOLDWYN GUTHRIE - 7H9420,43,0,0,0,0,0.184131282,0.242758642,0,0,0,0.092410712,0,0,0,0,0.077929938,0,0,0.060688778,0,0,0,0,0,0,0.062758317,0,0,0.037239352,0,0,0,0,0.013102787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005516889,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,44,0,0,0,0,0.184131282,0,0.139309916,0,0,0,0,0,0,0,0,0,0,0,0.03586013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 521 BOOKEM - 7H10721,45,0,0,0,0,0.184131282,0,0,0,0,0.091721101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021378827,0,0,0,0,0.024827588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,46,0,0,0,0,0,0,0,0,0,0,0,0,0.199993397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04206716,0,0,0,0,0,0,0,0.028963666,0,0.04689585,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,47,0,0,0,0,0.186200292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037928963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023446777
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0.199993397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04206716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030343948,0,0,0,0,0,0,0,0,0,0,0
